V_R,V_S,V_T,Kondisi
229.82,222.7,79.87,1
211.26,273.35,220.46,1
217.01,209.02,161.94,1
171.84,224.81,226.67,1
228.49,210.48,229.73,0
211.02,211.16,218.97,0
223.3,228.92,227.16,0
228.49,225.35,223.52,0
223.35,222.99,228.11,0
188.03,211.83,225.77,1
223.16,285.19,225.81,1
297.78,209.51,209.22,1
219.85,223.76,211.51,0
215.81,230.53,223.65,0
221.25,225.93,227.79,0
176.05,220.04,218.64,1
223.88,225.86,212.49,0
226.24,221.34,239.93,1
217.45,225.7,271.52,1
247.92,213.91,215.56,1
242.14,226.79,230.09,1
216.63,225.11,214.28,0
229.6,217.15,239.6,1
227.29,230.67,266.11,1
217.42,228.92,130.66,1
215.16,222.11,75.49,1
217.95,246.83,223.11,1
224.68,32.53,230.78,1
222.35,228.23,132.65,1
211.94,211.29,212.05,0
270.65,219.33,229.8,1
213.54,217.13,215.97,0
221.67,210.31,41.64,1
221.89,211.3,284.59,1
210.7,217.22,211.76,0
214.53,215.34,216.13,0
289.69,225.04,212.61,1
219.51,211.82,220.27,0
218.46,135.03,225.17,1
228.85,217.11,209.78,0
218.43,225.07,210.8,0
222.78,209.27,223.86,0
230.79,229.82,270.5,1
211.86,210.86,229.74,0
222.7,209.16,217.22,0
297.71,223.04,212.97,1
273.07,212.49,218.84,1
212.7,218.83,222.27,0
215.07,241.86,220.35,1
226.85,263.76,212.38,1
224.86,211.88,210.36,0
209.19,219.18,26.34,1
209.07,172.85,221.86,1
223.08,88.09,217.71,1
222.04,214.89,269.74,1
211.22,230.47,212.8,0
225.84,209.3,226.62,0
224.55,223.04,80.53,1
215.65,226.89,218.72,0
216.51,222.53,297.73,1
212.89,58.61,219.84,1
229.62,210.01,222.48,0
228.71,105.85,212.0,1
214.97,224.79,221.53,0
211.77,217.7,227.73,0
219.03,214.69,230.44,0
217.11,56.47,212.06,1
228.84,215.1,218.59,0
228.73,261.47,213.44,1
226.85,224.59,222.33,0
215.07,243.61,225.41,1
209.92,212.9,210.07,0
227.19,45.63,225.87,1
213.13,212.27,210.19,0
219.67,215.77,211.71,0
230.38,175.29,215.02,1
37.93,217.83,227.24,1
217.65,209.15,218.24,0
210.06,220.31,255.86,1
218.9,213.3,219.43,0
215.22,224.03,212.35,0
225.32,219.76,227.45,0
227.65,221.75,230.4,0
214.66,228.39,224.07,0
209.28,228.51,215.29,0
216.45,212.83,211.35,0
227.13,229.01,226.11,0
111.97,223.18,220.53,1
221.99,128.25,224.62,1
228.78,224.21,287.84,1
278.26,215.4,229.2,1
220.85,226.5,275.94,1
219.46,293.2,212.87,1
222.18,216.7,95.37,1
217.33,225.07,228.62,0
212.45,175.91,209.02,1
218.02,227.17,213.23,0
211.92,227.46,209.85,0
230.09,219.54,217.59,0
211.43,217.6,48.41,1
290.59,220.31,212.01,1
215.3,214.82,7.62,1
221.64,286.24,220.39,1
209.74,219.59,229.84,0
213.56,224.63,221.1,0
216.07,212.53,230.25,0
220.71,211.79,211.23,0
229.64,218.83,212.11,0
67.16,228.83,214.89,1
230.02,212.73,226.48,0
219.69,228.65,218.98,0
222.35,222.31,230.72,0
214.89,227.48,213.27,0
215.78,219.02,213.45,0
228.56,221.34,244.43,1
257.51,227.89,209.28,1
211.4,226.0,228.98,0
230.5,259.49,222.4,1
256.89,226.85,230.55,1
229.46,230.96,59.59,1
215.6,218.24,228.77,0
236.68,228.83,217.74,1
210.13,228.36,216.71,0
220.89,209.61,286.08,1
205.08,228.73,209.5,1
223.75,230.64,214.36,0
224.91,219.62,218.89,0
217.38,209.97,106.69,1
229.38,229.88,229.95,0
226.42,228.43,214.56,0
144.9,229.57,209.56,1
222.44,210.91,213.66,0
230.0,215.61,225.12,0
218.18,217.59,249.65,1
209.61,219.12,230.05,0
209.99,230.16,282.1,1
209.47,227.97,230.74,0
222.06,215.58,229.96,0
212.03,221.35,129.71,1
50.07,212.94,214.81,1
224.34,225.58,227.09,0
288.85,223.85,220.58,1
209.41,221.22,219.6,0
214.59,227.2,218.6,0
261.81,216.48,215.32,1
213.23,222.68,220.69,0
221.05,222.27,60.37,1
221.02,50.03,224.57,1
226.32,210.46,221.82,0
242.21,218.42,216.72,1
104.25,230.22,224.6,1
212.33,277.64,216.22,1
287.07,226.53,223.71,1
227.7,225.69,224.35,0
213.79,230.71,228.93,0
226.61,219.52,228.86,0
220.38,218.71,287.71,1
227.22,23.02,226.27,1
230.59,221.15,209.24,0
216.87,226.06,229.91,0
217.1,225.06,219.38,0
223.77,216.74,93.86,1
213.49,216.26,225.51,0
230.75,210.74,216.03,0
230.27,210.19,223.79,0
218.51,213.84,229.25,0
229.64,230.4,148.09,1
263.66,221.09,215.44,1
221.63,222.15,204.04,1
209.01,210.67,229.72,0
221.48,279.61,210.28,1
214.06,218.91,221.96,0
296.85,213.23,224.02,1
11.6,219.09,225.59,1
226.71,220.64,216.75,0
225.62,224.88,226.16,0
223.15,213.91,225.94,0
227.71,225.85,223.72,0
225.52,226.15,272.47,1
224.66,216.32,218.36,0
209.41,229.25,290.96,1
221.85,218.16,219.18,0
222.22,215.19,290.3,1
221.11,215.91,241.58,1
229.23,214.79,225.7,0
221.56,215.35,230.4,0
223.47,214.69,230.25,0
217.46,216.64,8.5,1
225.42,212.19,227.04,0
215.37,214.0,225.65,0
226.35,212.22,255.37,1
222.26,218.57,219.33,0
225.78,211.31,216.65,0
221.3,212.7,221.69,0
218.55,283.19,228.93,1
197.68,230.96,218.02,1
94.2,221.46,223.03,1
226.98,283.45,226.56,1
230.01,213.53,185.05,1
230.18,226.76,211.73,0
221.18,277.6,215.35,1
226.45,225.42,216.51,0
211.15,229.68,216.14,0
220.98,210.02,211.13,0
217.66,229.54,226.36,0
213.73,215.71,230.66,0
216.21,36.04,220.9,1
227.56,227.97,222.39,0
74.08,211.94,230.09,1
227.34,222.37,223.37,0
214.66,285.28,227.32,1
211.39,229.85,217.56,0
217.75,209.3,220.31,0
210.21,226.87,221.65,0
