R,S,T,I_R,I_S,I_T,Kondisi
219.14,233.77,212.61,0.92,1.45,1.47,1
224.02,225.41,223.85,1.11,1.09,1.09,0
217.92,214.62,215.31,1.15,1.0,0.95,1
232.91,222.87,213.08,1.03,1.15,1.27,1
226.37,228.45,225.03,1.12,1.22,1.2,1
210.4,232.87,220.4,1.36,1.07,1.21,1
230.35,227.54,228.69,0.89,1.43,1.29,1
220.59,220.92,221.33,1.14,1.14,1.13,0
221.51,222.43,221.91,1.12,1.13,1.12,0
219.53,212.97,230.3,0.89,1.28,1.5,1
231.43,214.26,223.55,1.43,0.85,1.04,1
223.23,223.65,223.39,1.18,1.18,1.17,0
221.12,220.7,221.14,1.13,1.14,1.12,0
224.47,228.75,227.96,1.28,1.4,1.06,1
220.78,222.4,220.76,1.12,1.13,1.14,0
219.6,220.12,220.74,1.05,1.07,1.05,0
223.25,223.28,222.76,1.03,1.05,1.05,0
224.76,216.45,215.94,1.34,1.3,0.92,1
223.76,224.25,223.64,1.05,1.05,1.04,0
218.99,234.55,229.72,1.5,0.87,1.29,1
223.93,222.92,223.74,1.05,1.07,1.06,0
220.69,230.06,230.36,1.01,1.23,1.43,1
222.68,221.56,222.89,1.09,1.09,1.12,0
220.11,219.91,220.76,1.14,1.16,1.16,0
220.43,213.08,215.83,0.94,0.87,0.91,1
223.21,224.15,223.33,1.06,1.05,1.03,0
227.8,225.92,220.36,1.06,1.39,1.03,1
210.6,231.09,217.41,0.89,1.16,1.46,1
214.5,223.03,218.13,0.83,1.33,1.24,1
223.09,222.7,222.0,1.19,1.16,1.19,0
215.06,232.55,231.77,1.3,1.08,0.92,1
223.13,221.41,211.28,1.08,1.08,1.02,1
223.3,224.27,224.42,1.14,1.14,1.15,0
234.06,219.13,229.98,1.0,0.97,0.81,1
221.76,220.36,220.7,1.07,1.07,1.08,0
222.15,221.98,221.73,1.06,1.07,1.08,0
224.76,220.89,215.1,1.34,0.94,1.11,1
234.43,219.98,210.09,1.15,0.84,1.2,1
225.43,225.36,224.8,1.12,1.1,1.12,0
223.97,223.51,224.44,1.13,1.15,1.16,0
221.5,221.29,221.54,1.03,1.05,1.03,0
222.46,221.3,222.21,1.15,1.15,1.17,0
233.75,218.37,234.62,0.97,1.39,0.97,1
